City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,woolgoolga,-30.1106,153.2007,18.93,90,67,1.53,AU,2025-01-13
183,quang ngai,15.1167,108.8,18.41,83,100,1.72,VN,2025-01-13
184,saint-philippe,-21.3585,55.7679,26.45,75,10,3.57,RE,2025-01-13
185,suining,30.508,105.5733,8.96,82,100,3.35,CN,2025-01-13
186,yellowknife,62.456,-114.3525,-12.55,98,75,2.57,CA,2025-01-13
187,al ghayzah,16.2079,52.176,21.64,60,0,0.98,YE,2025-01-13
188,poltavka,54.3663,71.7632,-14.54,86,94,3.26,RU,2025-01-13
189,machico,32.7,-16.7667,18.35,68,20,8.23,PT,2025-01-13
190,portland,45.5234,-122.6762,3.78,96,100,1.34,US,2025-01-13
191,barentu,15.1139,37.5928,21.64,50,2,3.3,ER,2025-01-13
192,hanceville,34.0607,-86.7675,12.31,72,50,4.02,US,2025-01-13
193,la'ie,21.6477,-157.9253,25.06,77,31,2.68,US,2025-01-13
194,olinda,-8.0089,-34.8553,28.85,84,75,3.6,BR,2025-01-13
195,san patricio,28.017,-97.5169,15.97,45,8,5.5,US,2025-01-13
196,kidal,18.4411,1.4078,22.17,12,86,3.22,ML,2025-01-13
197,ola,59.5833,151.2833,-26.47,84,13,3.05,RU,2025-01-13
198,badger,64.8,-147.5333,0.95,75,75,2.06,US,2025-01-13
199,tazovsky,67.4667,78.7,-15.46,95,100,2.47,RU,2025-01-13
200,berezovyy,51.6667,135.7,-22.84,99,100,0.79,RU,2025-01-13
201,kailua-kona,19.6406,-155.9956,26.82,66,100,1.54,US,2025-01-13
202,betafo,-19.8333,46.85,18.41,96,100,1.08,MG,2025-01-13
203,banda aceh,5.5577,95.3222,24.81,88,74,2.85,ID,2025-01-13
204,bathsheba,13.2167,-59.5167,29.34,65,40,7.2,BB,2025-01-13
205,grand falls-windsor,48.9332,-55.6649,-1.39,88,100,0.89,CA,2025-01-13
206,pachino,36.7186,15.0907,11.97,87,100,11.12,IT,2025-01-13
207,goure,13.9835,10.2704,19.86,14,8,3.64,NE,2025-01-13
208,araguaina,-7.1911,-48.2072,25.3,90,100,1.64,BR,2025-01-13
209,carnarvon,-24.8667,113.6333,24.71,73,3,9.63,AU,2025-01-13
210,nishinoomote,30.7333,131.0,12.48,66,43,6.93,JP,2025-01-13
211,saint-louis,16.3333,-15.0,26.94,12,0,4.28,SN,2025-01-13
212,zeya,53.75,127.2667,-27.08,96,100,1.41,RU,2025-01-13
213,tura,25.5198,90.2201,15.05,57,0,1.53,IN,2025-01-13
214,port moresby,-9.4431,147.1797,25.3,84,100,1.72,PG,2025-01-13
215,geraldton,-28.7667,114.6,22.23,78,20,7.72,AU,2025-01-13
216,jumla,29.2747,82.1838,-2.82,32,0,2.62,NP,2025-01-13
217,okhotsk,59.3833,143.3,-19.6,84,100,4.26,RU,2025-01-13
218,guarapari,-20.6667,-40.4975,25.37,73,30,3.44,BR,2025-01-13
219,mogocha,53.7333,119.7667,-28.95,96,11,1.45,RU,2025-01-13
220,quellon,-43.1167,-73.6167,14.86,51,100,2.95,CL,2025-01-13
221,lavington,-36.05,146.9333,20.4,94,12,1.96,AU,2025-01-13
222,urengoy,65.9667,78.3667,-11.6,92,100,4.26,RU,2025-01-13
223,tezu,27.9167,96.1667,14.18,59,18,2.06,IN,2025-01-13
224,hobyo,5.3505,48.5268,24.34,80,5,8.85,SO,2025-01-13
225,xuddur,4.1213,43.8894,24.71,32,17,5.38,SO,2025-01-13
226,nemuro,43.3236,145.575,-2.91,81,40,1.0,JP,2025-01-13
227,santiago de cao,-7.9589,-79.2392,22.07,73,40,6.17,PE,2025-01-13
228,santa cruz,-17.8,-63.1667,32.7,55,40,2.57,BO,2025-01-13
229,beledweyne,4.7358,45.2036,27.02,31,54,6.62,SO,2025-01-13
230,dunedin,-45.8742,170.5036,11.51,86,100,3.89,NZ,2025-01-13
231,hilo,19.7297,-155.09,22.84,94,100,1.79,US,2025-01-13
232,santana do livramento,-30.8908,-55.5328,32.28,85,6,4.62,BR,2025-01-13
233,coihueco,-36.6167,-71.8333,29.41,35,0,3.6,CL,2025-01-13
234,flin flon,54.7682,-101.865,-28.09,76,20,1.03,CA,2025-01-13
235,metro,-5.1131,105.3067,24.39,92,100,2.01,ID,2025-01-13
236,mudgee,-32.5943,149.5871,18.9,76,98,1.39,AU,2025-01-13
237,yuzhno-kurilsk,44.0306,145.8556,-4.25,86,96,0.4,RU,2025-01-13
238,el calafate,-50.3408,-72.2768,13.66,45,100,5.03,AR,2025-01-13
239,sangmelima,2.9333,11.9833,26.97,49,100,2.45,CM,2025-01-13
240,llanes,43.4198,-4.7549,8.06,52,100,4.53,ES,2025-01-13
241,tralee,52.2704,-9.7026,10.74,99,100,2.36,IE,2025-01-13
242,sao miguel do araguaia,-13.275,-50.1628,23.59,95,100,4.36,BR,2025-01-13
243,sinabang,2.4803,96.3801,25.67,86,100,3.2,ID,2025-01-13
244,kapa'a,22.0752,-159.319,25.18,96,100,5.66,US,2025-01-13
245,jinshi,29.6049,111.8701,10.99,32,76,2.85,CN,2025-01-13
246,happy valley-goose bay,53.3168,-60.3315,-3.83,68,75,4.12,CA,2025-01-13
247,taulaga,-11.0553,-171.0883,26.31,85,100,2.01,AS,2025-01-13
248,usinsk,65.9939,57.5281,-15.85,97,94,7.0,RU,2025-01-13
249,mount isa,-20.7333,139.5,27.87,65,97,2.57,AU,2025-01-13
250,itupiranga,-5.1347,-49.3267,28.65,70,100,2.07,BR,2025-01-13
251,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.89,PT,2025-01-13
252,ghat,24.9647,10.1728,15.73,34,0,1.8,LY,2025-01-13
253,sarangani,5.4033,125.4636,28.17,75,100,11.43,PH,2025-01-13
254,kodiak,57.79,-152.4072,-0.27,86,0,3.09,US,2025-01-13
255,kiratu,-3.3333,35.6667,18.99,80,100,1.23,TZ,2025-01-13
256,la ronge,55.1001,-105.2842,-21.86,77,20,3.09,CA,2025-01-13
257,porbandar,21.6422,69.6093,17.58,46,0,5.54,IN,2025-01-13
258,kerikeri,-35.2268,173.9474,15.51,93,0,2.54,NZ,2025-01-13
259,pacific grove,36.6177,-121.9166,14.67,65,0,7.6,US,2025-01-13
260,prado,-17.3411,-39.2208,27.71,67,50,5.55,BR,2025-01-13
261,borba,-4.3878,-59.5939,28.36,84,100,1.75,BR,2025-01-13
262,dudinka,69.4058,86.1778,-18.59,94,100,7.41,RU,2025-01-13
263,wailua homesteads,22.0669,-159.378,24.44,96,100,5.66,US,2025-01-13
264,berdigestyakh,62.0989,126.6992,-37.37,100,100,1.2,RU,2025-01-13
265,banmankhi,25.8833,87.1833,15.29,59,0,3.51,IN,2025-01-13
266,vorgashor,67.5833,63.95,-13.3,94,100,8.89,RU,2025-01-13
267,priozersk,61.0393,30.1291,-0.51,89,100,7.82,RU,2025-01-13
268,floro,61.5996,5.0328,7.98,93,75,9.26,NO,2025-01-13
269,lorengau,-2.0226,147.2712,28.01,75,45,3.84,PG,2025-01-13
270,ust'-barguzin,53.45,108.9833,-18.45,93,100,0.91,RU,2025-01-13
271,alto araguaia,-17.3147,-53.2153,25.24,78,100,0.47,BR,2025-01-13
272,jwaneng,-24.6004,24.7303,24.41,58,73,5.53,BW,2025-01-13
273,altay,47.8667,88.1167,-13.61,52,0,3.99,CN,2025-01-13
274,dauphin,51.1494,-100.0502,-24.92,84,0,3.6,CA,2025-01-13
275,namibe,-15.1961,12.1522,21.58,81,39,1.02,AO,2025-01-13
276,chonchi,-42.6128,-73.8092,17.27,39,100,1.13,CL,2025-01-13
277,praia da vitoria,38.7333,-27.0667,18.14,94,75,9.02,PT,2025-01-13
278,grantsville,40.5999,-112.4644,0.31,65,0,2.68,US,2025-01-13
279,mount pearl,47.5166,-52.7813,0.64,93,100,7.2,CA,2025-01-13
280,lazaro cardenas,17.9583,-102.2,27.72,54,7,2.94,MX,2025-01-13
281,tupanatinga,-8.7533,-37.3397,27.45,49,100,2.85,BR,2025-01-13
282,igarka,67.4667,86.5833,-17.49,94,100,5.66,RU,2025-01-13
283,dayr hafir,36.1569,37.7078,11.43,65,7,2.31,SY,2025-01-13
284,tofol,5.3248,163.0078,28.2,74,29,9.82,FM,2025-01-13
285,la mira,18.035,-102.3266,27.86,53,2,3.12,MX,2025-01-13
286,sayula,19.8667,-103.6167,21.72,37,6,2.23,MX,2025-01-13
287,mar del plata,-38.0023,-57.5575,24.41,80,99,7.15,AR,2025-01-13
288,indianola,41.3581,-93.5574,-6.72,60,4,4.02,US,2025-01-13
289,domoni,-12.2569,44.5319,26.51,86,100,6.26,KM,2025-01-13
290,semera,11.501,41.201,22.86,58,6,7.66,ET,2025-01-13
291,tomatlan,19.9333,-105.25,28.73,51,5,3.78,MX,2025-01-13
292,ciudad lazaro cardenas,17.9583,-102.2,27.72,54,7,2.94,MX,2025-01-13
293,sao jose de piranhas,-7.1206,-38.5019,26.56,70,100,2.4,BR,2025-01-13
294,iquique,-20.2208,-70.1431,21.55,74,18,2.28,CL,2025-01-13
295,chabahar,25.2919,60.643,21.82,53,5,2.26,IR,2025-01-13
296,birjand,32.8663,59.2211,4.26,100,75,2.06,IR,2025-01-13
297,illizi,26.4833,8.4667,13.34,43,0,4.16,DZ,2025-01-13
298,savran,48.1322,30.0825,-0.41,72,100,3.91,UA,2025-01-13
299,san antonio de pale,-1.4014,5.6325,26.83,78,100,3.72,GQ,2025-01-13
300,urangan,-25.3,152.9,23.32,87,0,2.69,AU,2025-01-13
301,urucara,-2.5364,-57.76,29.34,65,100,1.7,BR,2025-01-13
302,morondava,-20.2833,44.2833,27.76,82,100,4.26,MG,2025-01-13
303,kharp,66.8014,65.8081,-15.28,93,48,3.9,RU,2025-01-13
304,kingston,17.997,-76.7936,31.76,58,20,3.6,JM,2025-01-13
305,nadi,-17.8,177.4167,23.0,78,20,3.6,FJ,2025-01-13
306,aliveri,38.4167,24.0333,6.9,92,100,6.87,GR,2025-01-13
307,saldanha,-33.0117,17.9442,20.03,88,100,8.76,ZA,2025-01-13
308,kalinagar,28.6167,80.1,11.76,60,0,2.48,IN,2025-01-13
309,alotau,-10.3069,150.4462,25.53,91,100,3.04,PG,2025-01-13
310,nova vicosa,-17.8919,-39.3719,27.31,67,81,4.4,BR,2025-01-13
311,n'zeto,-7.2312,12.8666,26.12,86,100,3.0,AO,2025-01-13
312,vadso,70.0744,29.7487,-0.91,93,75,6.17,NO,2025-01-13
313,beni,0.5,29.4667,18.26,89,100,1.35,CD,2025-01-13
314,glace bay,46.1969,-59.957,-0.57,75,75,2.57,CA,2025-01-13
315,la sarre,48.8002,-79.1996,-4.12,92,100,3.06,CA,2025-01-13
316,salaverry,-8.2333,-78.9667,21.21,82,41,5.06,PE,2025-01-13
317,aykhal,66.0,111.5,-28.37,98,100,4.44,RU,2025-01-13
318,zarinsk,53.7074,84.9493,-22.7,100,96,1.44,RU,2025-01-13
319,nar'yan-mar,67.6713,53.087,-10.2,93,84,6.52,RU,2025-01-13
320,berwick-upon-tweed,55.7833,-2.0,9.23,88,100,10.98,GB,2025-01-13
321,new plymouth,-39.0667,174.0833,12.4,100,21,2.25,NZ,2025-01-13
322,hamilton,39.1834,-84.5333,-0.76,50,0,6.69,US,2025-01-13
323,fale old settlement,-9.3852,-171.2468,26.64,87,100,11.12,TK,2025-01-13
324,kembe,4.6228,21.8865,24.4,26,98,0.72,CF,2025-01-13
325,kongolo,-5.3833,27.0,22.34,92,100,0.79,CD,2025-01-13
326,timimoun,29.2639,0.231,11.21,32,0,2.57,DZ,2025-01-13
